Track : Sweeter Than Sugar |  Artist : Harmony Byrne
Track : Telephone |  Artist : Annie Taylor
Track : FFS |  Artist : Deaf Wish
Track : Strange Moments |  Artist : The Tracks
Track : Where to Start |  Artist : Bully
Track : Sweat Patch |  Artist : Lauran Hibberd
Track : With Or Without |  Artist : Tired Lion
Track : Beaches |  Artist : Black Honey
Track : Speak of the Devil |  Artist : Dead Pony
Track : Heavy |  Artist : The Goodnight Darlings
Track : Girlfriend |  Artist : The Beverly Chills
Track : Sentimental Animal |  Artist : Rendez Vous
Track : Nevermine |  Artist : Forth Wanderers
Track : Hard to Hold On |  Artist : Egg Drop Soup
Track : Only Me |  Artist : Hilma Nikolaisen
Track : Crushed |  Artist : CLEWS
Track : Ms. California |  Artist : Beach Bunny
Track : Advice |  Artist : Gabrielle Graves
Track : Change Your Mind |  Artist : NOVACUB
Track : Everything |  Artist : Thyla
Track : Athlete |  Artist : Why Bonnie
Track : Finally Trying |  Artist : LAPêCHE
Track : Marbles |  Artist : Snarls
Track : Crybaby |  Artist : Destroy Boys
Track : Liffey |  Artist : Pillow Queens
Track : Narration of a Lost Millennial |  Artist : Rad Horror
Track : Teacher's Pet |  Artist : Career Woman
Track : Birthday |  Artist : Nectar
